,delta_t,batch_lengths,avg_return,actor_losses,critic_losses
91,1680308855.9405622,22882,-7.361164146207157,28.439903259277344,1777.440673828125
92,1680308889.530416,23050,-7.26587307425677,27.6884822845459,1721.5673828125
93,1680308922.9667463,23285,-7.167236202534211,25.96114158630371,1593.4505615234375
94,1680308956.7653546,22342,-7.274213015049219,29.37068748474121,1778.863525390625
95,1680308990.545618,23016,-7.246044130935616,27.461061477661133,1781.250244140625
96,1680309024.2676976,22741,-7.366666421705947,27.6442928314209,1769.1968994140625
97,1680309058.5154066,23214,-7.239048443998133,26.08892250061035,1601.758544921875
98,1680309092.6818442,23084,-7.263954472653658,26.232444763183594,1650.4376220703125
99,1680309126.4999723,23088,-7.243813597012676,25.87650489807129,1671.0185546875
100,1680309160.4587963,23467,-7.1706260926161765,24.51005744934082,1548.4931640625
101,1680309196.275962,23087,-7.256508697885455,25.57122039794922,1654.7921142578125
102,1680309230.7212558,23337,-7.211588651533591,24.017032623291016,1538.090087890625
103,1680309264.6880608,23275,-7.256978306636005,24.287975311279297,1543.695556640625
104,1680309298.4601512,23512,-7.147520369179114,23.136089324951172,1451.8714599609375
105,1680309333.607911,23531,-7.257563913767966,23.77387809753418,1503.012451171875
106,1680309369.1579063,23565,-7.2258869125332525,23.29140281677246,1522.674072265625
107,1680309405.2385762,23695,-7.1341818589101775,21.26791763305664,1409.097412109375
108,1680309439.6361344,23611,-7.211552014372037,22.172271728515625,1447.744384765625
109,1680309473.6084123,23263,-7.204927117720883,22.11928367614746,1435.48583984375
110,1680309508.1817029,23637,-7.207377626918829,21.48116683959961,1377.3092041015625
111,1680309543.3479862,23807,-7.127538663583559,20.616802215576172,1342.519775390625
112,1680309577.3963177,23491,-7.182244677681023,21.057369232177734,1391.4781494140625
113,1680309611.6914876,23870,-7.16953939169031,20.210155487060547,1224.71337890625
114,1680309646.1289785,23869,-7.130400509901785,19.807308197021484,1328.8873291015625
115,1680309680.5378933,23887,-7.118916838735217,19.020565032958984,1274.9207763671875
116,1680309715.1286957,23924,-7.1766439794430354,18.989303588867188,1305.7791748046875
117,1680309750.057458,23587,-7.214213887454512,19.43656349182129,1262.5694580078125
118,1680309784.248559,24020,-7.12268536791402,17.723079681396484,1213.1868896484375
119,1680309818.6886694,23924,-7.1487968957155195,17.8004150390625,1212.7581787109375
120,1680309852.883412,23835,-7.14910474828657,17.18761444091797,1253.5150146484375
121,1680309886.8626206,23830,-7.19366493634618,18.341909408569336,1297.706298828125
122,1680309921.2512443,24533,-7.05394197302023,15.568933486938477,1095.3739013671875
123,1680309955.4800434,23983,-7.13266474611137,17.17792320251465,1174.2789306640625
124,1680309989.3887792,24097,-7.158693734528809,16.88717269897461,1230.4071044921875
125,1680310023.4213908,23969,-7.153434895243544,16.361190795898438,1160.703125
126,1680310057.4244726,24039,-7.0814597781906885,15.194668769836426,1087.327392578125
127,1680310091.7976499,24023,-7.1374744077802035,15.364825248718262,1167.156982421875
128,1680310126.1917915,23976,-7.161654501010131,15.060317993164062,1094.90185546875
129,1680310161.5748763,24220,-7.081636253787251,14.285888671875,1151.605712890625
130,1680310195.710164,24086,-7.130237898824674,13.57292652130127,1048.5029296875
131,1680310230.398127,24087,-7.180456777433558,14.201716423034668,1096.615234375
132,1680310264.9279299,24403,-7.063485534301255,12.602356910705566,1028.0494384765625
133,1680310298.748637,24290,-7.1072565892678,12.462764739990234,998.18408203125
134,1680310333.2768245,24217,-7.07273592838815,12.126690864562988,1055.0260009765625
135,1680310367.5147955,24226,-7.145759422011031,12.591689109802246,1040.19580078125
136,1680310401.9058592,24106,-7.163818634231901,12.611194610595703,1068.9927978515625
137,1680310436.4735088,24111,-7.091540325318219,11.630847930908203,1039.5400390625
138,1680310470.8477597,24554,-7.064110734870132,10.290897369384766,1026.8382568359375
139,1680310505.2569447,24408,-7.1557867458493565,11.617302894592285,991.4615478515625
140,1680310539.8857436,24426,-7.119237018776499,10.757561683654785,1035.6656494140625
141,1680310574.4726748,24597,-7.081969094636512,9.356842994689941,941.269775390625
142,1680310608.6701596,24588,-7.103638343362721,9.250581741333008,977.1454467773438
143,1680310643.020486,24223,-7.120411257236507,10.196645736694336,1025.797607421875
144,1680310677.6193366,24670,-7.079659665804759,8.665543556213379,1001.3435668945312
145,1680310711.8409534,24435,-7.062527969449818,8.15320873260498,990.3074340820312
146,1680310746.0134215,24714,-7.099301513329993,8.251276016235352,905.951416015625
147,1680310780.1522238,24687,-7.110963819522716,7.671200752258301,989.56494140625
148,1680310815.1804354,24775,-7.072835002467334,7.324729919433594,951.1044311523438
149,1680310849.5642865,25084,-7.003093485830788,5.986026287078857,834.0567626953125
150,1680310883.99682,25067,-7.044503899539784,6.147745609283447,940.028076171875
151,1680310918.3450675,24504,-7.074884541496046,6.823061943054199,911.256591796875
152,1680310952.9532995,24931,-7.045720150885406,6.365206718444824,941.8475341796875
153,1680310987.1142693,24994,-7.034097816091131,5.450788497924805,922.4092407226562
154,1680311021.5416126,24963,-7.0679363905018615,5.829074382781982,1005.6171264648438
155,1680311056.1080756,24843,-7.030139130138504,5.362346649169922,870.2723388671875
156,1680311090.7165713,25100,-7.029322968041454,4.578677654266357,900.0145874023438
157,1680311125.6835446,25552,-7.003979135855075,3.9567666053771973,855.0059814453125
158,1680311160.0720804,25255,-7.066176134127158,4.508157730102539,926.0097045898438
159,1680311194.6837933,25365,-6.971245465016617,3.585949420928955,835.5184326171875
160,1680311229.019855,25463,-6.929934267151351,3.173485040664673,867.7797241210938
161,1680311263.4721532,25640,-6.981981610669453,3.0397889614105225,900.8024291992188
162,1680311298.603154,25511,-6.916386812919427,2.1242783069610596,821.9125366210938
163,1680311333.2190108,26055,-6.957523655539623,1.9051618576049805,818.25830078125
164,1680311367.385745,25507,-7.043388048528112,2.9381446838378906,872.4760131835938
165,1680311401.9799123,25876,-6.968536586103686,1.6782501935958862,869.8265380859375
166,1680311436.5560114,25618,-7.038674344064801,2.2933502197265625,853.6098022460938
167,1680311471.3457756,25862,-6.9300220616886,1.4499421119689941,816.1361083984375
168,1680311506.1607053,26044,-6.945420098833938,1.1199924945831299,829.764404296875
169,1680311540.5174372,25898,-6.951381123160747,1.5426305532455444,874.1185913085938
170,1680311575.909015,25880,-6.954387175872384,1.1497669219970703,848.7623901367188
171,1680311610.162877,26017,-6.9093751204084715,0.6292611360549927,833.594970703125
172,1680311645.1516066,26107,-6.999335482132375,1.2931162118911743,833.81396484375
173,1680311679.705383,26130,-6.987060033588447,1.0048474073410034,843.1910400390625
174,1680311714.477031,26174,-6.95998634666441,0.9652341604232788,867.4266967773438
175,1680311749.2530503,26444,-6.966488485561579,0.30390244722366333,863.8283081054688
176,1680311784.04912,26322,-6.983316631123577,0.7141709923744202,854.6494750976562
177,1680311818.6574318,26016,-7.001947144224914,1.1894577741622925,823.21875
178,1680311853.2852783,26399,-6.9963464310428325,0.3366548717021942,871.8663330078125
179,1680311887.8277056,26491,-6.955676788455305,0.40295174717903137,809.8480834960938
180,1680311922.4190078,26658,-6.966782073595361,-0.12356333434581757,820.5692138671875
181,1680311957.2319257,26600,-6.96002273883388,-0.02590167708694935,837.2332153320312
182,1680311992.0030565,26848,-6.940133971268334,-0.4064854383468628,846.3340454101562
183,1680312026.5623665,26821,-6.941701968396941,-0.35575753450393677,832.8800659179688
184,1680312060.979193,26583,-6.961668522202708,0.0018283406971022487,796.5222778320312
185,1680312095.5883043,26898,-6.940909063777067,-0.26467010378837585,820.353515625
186,1680312130.359427,26762,-6.971404100841269,0.010652128607034683,813.5191650390625
187,1680312164.7711258,26920,-6.899896875869193,-0.6784036159515381,791.0028686523438
188,1680312199.3183706,27050,-6.939875459230161,-0.5469335913658142,835.0294189453125
189,1680312233.9125986,27097,-6.996418587957906,-0.4581812620162964,849.5606079101562
190,1680312268.9007852,26949,-6.974898179523863,-0.30711156129837036,806.9901123046875
191,1680312303.29013,27160,-6.922106367190286,-0.7691998481750488,781.3869018554688
192,1680312337.881086,27107,-6.953945464055137,-0.4296347498893738,789.9698486328125
193,1680312372.301269,27111,-6.968756140696726,-0.20148716866970062,817.2545776367188
194,1680312407.040175,27288,-6.913932377675061,-0.8524283766746521,790.3502197265625
195,1680312441.469612,27234,-6.935935496273587,-0.5199273824691772,780.1283569335938
196,1680312477.0414307,27071,-6.958616021640748,-0.15547938644886017,794.3474731445312
197,1680312511.4588242,26942,-7.040903121001547,0.4474773406982422,831.204345703125
198,1680312546.2437644,27215,-6.94697948312627,-0.18657922744750977,789.7562255859375
199,1680312580.7936826,27322,-6.887803649173358,-0.7623095512390137,813.6851196289062
200,1680312615.3986096,27346,-6.915200551105018,-0.809680163860321,765.3627319335938
201,1680312650.199161,27197,-6.947224030101641,-0.1807694137096405,820.8153686523438
202,1680312684.9772701,27404,-6.971518936546312,-0.5227141380310059,797.5068969726562
203,1680312719.8024957,27366,-6.951891755459569,-0.6098499894142151,783.7169189453125
204,1680312754.538123,27201,-6.964562307124474,-0.3133808970451355,803.6658325195312
205,1680312789.1592515,27463,-6.922635639891285,-0.8278353810310364,776.7648315429688
206,1680312823.9515736,27575,-7.013162474184165,-0.029176058247685432,806.14599609375
207,1680312860.3087149,27576,-6.949517008507851,-0.7006511092185974,801.0164184570312
208,1680312895.5177777,27648,-6.95990769245837,-0.5811944007873535,791.7166137695312
209,1680312930.2956066,27834,-6.983039265367762,-0.6595447659492493,792.0269775390625
210,1680312965.5114985,27704,-6.970761128478402,-0.46933332085609436,794.76806640625
211,1680313000.2732246,27530,-6.965104252318258,-0.25884607434272766,787.7440185546875
212,1680313035.0575268,27686,-6.939392776727253,-0.33117711544036865,814.939208984375
213,1680313069.8613412,27556,-6.985575233781745,-0.2474500834941864,795.4140014648438
214,1680313104.8204603,27768,-6.95485796196626,-0.4900761842727661,787.015380859375
215,1680313141.237728,27671,-6.974631552263596,-0.32261669635772705,774.1453857421875
216,1680313178.2233782,27777,-6.9573212753379545,-0.5140497088432312,790.9938354492188
217,1680313213.642411,27679,-6.993917599715809,-0.02499067597091198,820.098388671875
218,1680313248.983016,27747,-6.903367951329536,-0.8391528725624084,762.1411743164062
219,1680313284.1710954,27776,-6.9841135121004205,-0.17644786834716797,778.705078125
220,1680313319.158083,27748,-6.994067674700507,-0.1561288833618164,824.629638671875
221,1680313354.1693792,27865,-6.9735956833200206,-0.43600746989250183,791.8280639648438
222,1680313389.357188,27817,-6.928178154906992,-0.5747689008712769,751.9338989257812
223,1680313424.1386676,27880,-6.993221561734752,-0.14489266276359558,805.5151977539062
224,1680313458.9437983,28118,-6.949631935767365,-0.6213276982307434,764.998779296875
225,1680313493.9105525,28006,-6.968685149869335,-0.43697264790534973,762.231689453125
226,1680313529.090683,27977,-6.9461698552361355,-0.5711818933486938,764.3363647460938
227,1680313563.927999,27741,-6.959661952971374,-0.04819461703300476,779.7310180664062
228,1680313598.495626,27872,-6.961985204604235,-0.2048460841178894,765.4392700195312
229,1680313633.4573183,27932,-6.9893644378207895,-0.1087505891919136,784.0072631835938
230,1680313668.2463117,27882,-6.958323482199339,-0.14879460632801056,777.0576171875
231,1680313703.2365181,27819,-7.008821964847466,0.2040991634130478,780.15283203125
232,1680313738.2590494,27924,-6.9746942068298035,-0.12522748112678528,787.0794067382812
233,1680313773.4269235,28006,-6.980456241094094,0.1033438891172409,773.3164672851562
234,1680313808.6173573,28048,-6.974816416968613,-0.2196464091539383,760.8058471679688
235,1680313844.189919,27928,-6.944010213805464,-0.33417046070098877,787.5413818359375
236,1680313879.2000554,28091,-6.980347776059577,-0.21771475672721863,761.5253295898438
237,1680313914.2322097,28125,-7.003539408973107,-0.20271047949790955,766.0781860351562
238,1680313949.570776,27952,-6.991435684947988,-0.010906828567385674,765.242919921875
239,1680313984.387282,27928,-7.0039111959572855,0.080304816365242,761.0022583007812
240,1680314018.9560938,27748,-7.022409218563931,0.27408790588378906,767.8967895507812
241,1680314054.13439,28044,-6.942650710720778,-0.13229075074195862,763.54052734375
242,1680314089.3605602,28129,-6.971740199236368,-0.255089670419693,760.1238403320312
243,1680314124.3041315,28160,-7.018691466812274,0.1200103908777237,860.59375
244,1680314159.283504,28110,-6.983832050195198,-0.19619300961494446,778.7677001953125
245,1680314194.479973,28237,-6.980468500382723,-0.2807817757129669,751.3939819335938
246,1680314229.467963,28165,-6.992062727259701,-0.09678054600954056,759.1884155273438
247,1680314264.6594505,28073,-6.995690199411469,0.15246690809726715,770.0087280273438
248,1680314300.467007,28286,-6.988401654591112,-0.11804579943418503,760.9961547851562
249,1680314335.4437675,28145,-7.000466118516121,-0.09967103600502014,764.1336059570312
250,1680314370.4783547,28130,-6.995704860951667,0.06232684105634689,759.358154296875
251,1680314405.6272774,28163,-7.005477459600488,0.0271147470921278,779.2882690429688
252,1680314440.8152843,28285,-6.975442490315668,-0.20683526992797852,766.6290283203125
253,1680314475.6003246,28284,-7.008720060645132,0.0058113825507462025,751.2277221679688
254,1680314510.4118664,28108,-7.032058515586696,0.26731324195861816,766.5831909179688
255,1680314545.3572457,28114,-6.993004274272834,0.05861151963472366,772.53857421875
256,1680314580.370105,28194,-6.998154110416675,0.08243200927972794,757.8510131835938
257,1680314615.4016907,28222,-7.009271060657577,0.2913973927497864,758.833251953125
258,1680314650.7409127,28064,-6.973769694289906,0.1272825300693512,767.8109741210938
259,1680314685.725693,28199,-6.987229551992579,-0.08220970630645752,752.2220458984375
260,1680314720.735975,28229,-6.995929605021285,0.027038196101784706,769.72265625
261,1680314755.6986828,28293,-7.004064332621694,0.024848410859704018,771.881591796875
262,1680314790.5108047,28171,-7.0011330530153515,0.13473261892795563,758.4718017578125
263,1680314825.3188944,28247,-7.009276758813886,0.13581040501594543,769.6697387695312
264,1680314860.26612,28370,-6.991712834616058,-0.14416873455047607,751.8865966796875
265,1680314895.4609387,28309,-6.981880529654408,-0.09891818463802338,757.3202514648438
266,1680314930.2565713,28382,-6.996964545700448,-0.012597216293215752,757.22119140625
267,1680314965.6237018,28134,-7.005396687795994,0.24467462301254272,771.560791015625
268,1680315000.4234374,28278,-7.020447286608856,0.09848412126302719,761.5684204101562
269,1680315035.425962,28359,-7.012450320003203,0.1880597174167633,766.0430297851562
270,1680315070.6052842,28345,-7.015435221252884,0.10205592960119247,765.4661254882812
271,1680315105.2056231,28319,-7.009265042078406,0.10824250429868698,767.1675415039062
272,1680315140.392522,28376,-6.997768971702905,-0.13281522691249847,761.5262451171875
273,1680315175.1961932,28297,-6.990317163754415,0.038577206432819366,744.8781127929688
274,1680315210.568108,28297,-6.995586140723298,0.06502069532871246,771.3096313476562
275,1680315246.7623832,28327,-7.022381584509115,0.1599322259426117,762.9774169921875
276,1680315281.9479892,28353,-7.025657701343945,0.2066938728094101,769.72509765625
277,1680315317.1637795,28299,-6.961961418949583,-0.11015888303518295,748.3158569335938
278,1680315352.117468,28348,-6.99005568699521,0.014071846380829811,739.4264526367188
279,1680315387.0975862,28269,-6.977926715181705,0.0033103947062045336,759.73828125
280,1680315422.307947,28346,-6.982699616454139,0.07083757221698761,761.3228759765625
281,1680315457.4868407,28453,-6.989573218965012,0.04592464491724968,753.691650390625
282,1680315492.4903822,28336,-7.000460906507802,0.16550099849700928,745.5455932617188
283,1680315527.6705441,28463,-7.015064111858488,-0.05970866233110428,754.1600952148438
284,1680315562.6932158,28370,-7.014223472474591,0.33407482504844666,771.3687133789062
285,1680315597.844212,28446,-7.011168423132334,0.1625705510377884,768.8296508789062
286,1680315632.817537,28449,-7.001701208559339,0.05399447679519653,765.6644287109375
287,1680315667.8215473,28426,-7.012769809337024,0.15668514370918274,768.06640625
288,1680315703.0390766,28416,-7.038813912879114,0.23211921751499176,759.8909912109375
289,1680315738.2518613,28366,-7.03424984584729,0.41737088561058044,753.0872802734375
290,1680315773.419926,28313,-6.996154892019955,0.2514706552028656,772.50537109375
291,1680315808.4042926,28415,-7.017952560447709,0.07995082437992096,775.2559814453125
292,1680315843.19938,28419,-7.041146513824996,0.3114808201789856,773.768798828125
293,1680315878.1490781,28326,-7.0497391258231366,0.9513369798660278,797.2528686523438
294,1680315913.12811,28352,-7.00739958411335,0.21634766459465027,760.0674438476562
295,1680315947.9294846,28307,-7.031277700500773,0.2591201663017273,759.8665771484375
296,1680315983.327463,28507,-7.040707122944833,0.10480185598134995,750.3394165039062
297,1680316018.3053372,28403,-7.003146683862383,0.11564677208662033,754.7633056640625
298,1680316052.9180942,28473,-7.022144183802553,0.005184582434594631,756.1676025390625
299,1680316088.1010306,28369,-6.9909714803126155,0.05617348849773407,752.8563842773438
300,1680316122.9176676,28415,-7.021312712183378,0.11930177360773087,753.0628051757812
301,1680316158.0612142,28475,-7.028848276674441,0.0762910544872284,769.9004516601562
302,1680316192.9109292,28473,-7.0336662812712545,0.15119211375713348,770.1181640625
303,1680316227.8538291,28514,-7.003784329917816,-0.04900851100683212,751.5007934570312
304,1680316262.8331327,28507,-7.021423209095416,0.061383482068777084,755.5746459960938
305,1680316298.0280645,28459,-7.026654330767245,0.3534923791885376,767.6653442382812
306,1680316333.1910584,28405,-7.014926728790465,0.31582406163215637,771.2267456054688
307,1680316368.1846154,28433,-7.038973830655035,0.3200806677341461,759.1327514648438
308,1680316403.1731658,28390,-7.021896669421743,0.208023801445961,765.1884765625
309,1680316438.3610876,28386,-7.027597390057847,0.22831928730010986,749.6199340820312
310,1680316473.3657875,28497,-7.049050772029702,0.11587030440568924,753.54638671875
311,1680316508.7792878,28446,-7.017040615994814,0.13349094986915588,743.0513916015625
312,1680316544.9435656,28515,-7.031135067617533,0.0698772668838501,752.8514404296875
313,1680316579.9529526,28417,-7.024718802676232,0.28939467668533325,754.3467407226562
314,1680316615.1169977,28401,-7.042034326039842,0.27466100454330444,756.3073120117188
315,1680316650.124684,28572,-7.013045047982317,-0.0633758008480072,747.2616577148438
316,1680316685.3147545,28438,-7.024739109044489,0.2894221246242523,750.6845703125
317,1680316720.2881298,28489,-7.025941859066309,0.11169430613517761,757.8824462890625
318,1680316755.4767315,28550,-7.010046626620671,-0.03160328045487404,751.45166015625
319,1680316790.6467178,28412,-7.074935969409971,0.4363369643688202,811.84228515625
320,1680316826.0315506,28497,-7.013610384647282,0.04361701011657715,751.4097290039062
321,1680316860.844981,28478,-7.027509255590103,0.24181492626667023,759.0860595703125
322,1680316896.03366,28478,-7.015663768553018,0.1301092505455017,757.2138671875
323,1680316931.2084079,28400,-7.005907675745837,0.16360636055469513,752.8041381835938
324,1680316966.0201857,28520,-7.029118744482028,0.12508785724639893,755.1229858398438
325,1680317001.4007585,28444,-7.023355010779931,0.22111788392066956,746.0639038085938
326,1680317036.177476,28493,-7.0477893815452095,0.2687683403491974,752.700927734375
327,1680317070.988683,28483,-7.021139959645384,0.12096211314201355,754.1957397460938
328,1680317105.9847994,28541,-7.02051727544946,0.15361937880516052,751.2460327148438
329,1680317141.358584,28483,-7.01917087742998,0.16244012117385864,748.8452758789062
330,1680317176.1394231,28516,-7.032342536469937,0.13777382671833038,745.05078125
331,1680317211.3385766,28513,-7.019477716660533,0.10900574922561646,753.9329223632812
332,1680317246.1525326,28487,-7.053853978526806,0.2710811197757721,774.4348754882812
333,1680317281.1216245,28410,-7.0136174799085635,0.12316282093524933,750.4322509765625
334,1680317316.322742,28519,-7.030710769055459,0.2778618335723877,762.2914428710938
335,1680317350.9274209,28439,-7.036459790237617,0.2870461046695709,749.9421997070312
336,1680317386.273605,28465,-7.01566138750502,0.18316234648227692,748.614501953125
337,1680317421.8633351,28526,-7.044203542381914,0.17226703464984894,755.1447143554688
338,1680317457.2534153,28523,-7.055134231783708,0.2967241704463959,760.228759765625
339,1680317492.0492315,28596,-7.047030040360148,0.06560306996107101,741.7977905273438
340,1680317527.013951,28505,-7.028652798010941,0.20129022002220154,739.9070434570312
